Step,Value
0,3.607199914767989e-06
100,4.3271998038107995e-06
200,5.0471999202272855e-06
300,5.7672000366437715e-06
400,6.4872001530602574e-06
500,7.2071998147293925e-06
600,7.92720038589323e-06
700,8.647200047562364e-06
800,9.3671997092315e-06
900,1.0087200280395336e-05
1000,1.0807199942064472e-05
1100,1.1527199603733607e-05
1200,1.2247200174897444e-05
1300,1.2967199836566579e-05
1400,1.3687200407730415e-05
1500,1.440720006939955e-05
1600,1.5127199731068686e-05
1700,1.584719939273782e-05
1800,1.656720087339636e-05
1900,1.7287200535065494e-05
2000,1.800720019673463e-05
2100,1.8727199858403765e-05
2200,1.94471995200729e-05
2300,2.0167199181742035e-05
2400,2.0887200662400573e-05
2500,2.160720032406971e-05
2600,2.2327199985738844e-05
2700,2.304719964740798e-05
2800,2.3767199309077114e-05
2900,2.4487200789735653e-05
3000,2.5207200451404788e-05
3100,2.5927200113073923e-05
3200,2.6647199774743058e-05
3300,2.7367199436412193e-05
3400,2.8087199098081328e-05
3500,2.8807200578739867e-05
3600,2.9527200240409002e-05
3700,3.0247199902078137e-05
3800,3.096719956374727e-05
3900,3.168719922541641e-05
4000,3.240719888708554e-05
4100,3.312719854875468e-05
4200,3.384719821042381e-05
4300,3.4567201510071754e-05
4400,3.528720117174089e-05
4500,3.6007200833410025e-05
4600,3.672720049507916e-05
4700,3.7447200156748295e-05
4800,3.816719981841743e-05
4900,3.8887199480086565e-05
5000,3.96071991417557e-05
5100,4.0327198803424835e-05
5200,4.104719846509397e-05
5300,4.176720176474191e-05
5400,4.248720142641105e-05
5500,4.320720108808018e-05
5600,4.392720074974932e-05
5700,4.464720041141845e-05
5800,4.536720007308759e-05
5900,4.608719973475672e-05
6000,4.680719939642586e-05
6100,4.752719905809499e-05
6200,4.824719871976413e-05
6300,4.8967198381433263e-05
6400,4.9687201681081206e-05
6500,5.040720134275034e-05
6600,5.1127201004419476e-05
6700,5.184720066608861e-05
6800,5.2567200327757746e-05
6900,5.328719998942688e-05
7000,5.4007199651096016e-05
7100,5.472719931276515e-05
7200,5.5447198974434286e-05
7300,5.616719863610342e-05
7400,5.6887198297772557e-05
7500,5.76072015974205e-05
7600,5.8327201259089634e-05
7700,5.904720092075877e-05
7800,5.9767200582427904e-05
7900,6.048720024409704e-05
8000,6.120720354374498e-05
8100,6.192720320541412e-05
8200,6.264720286708325e-05
8300,6.336720252875239e-05
8400,6.408720219042152e-05
8500,6.480720185209066e-05
8600,6.552720151375979e-05
8700,6.624720117542893e-05
8800,6.696720083709806e-05
8900,6.76872004987672e-05
9000,6.840720016043633e-05
9100,6.912719982210547e-05
9200,6.98471994837746e-05
9300,7.056719914544374e-05
9400,7.128719880711287e-05
9500,7.200719846878201e-05
9600,7.272719813045114e-05
9700,7.344719779212028e-05
9800,7.416719745378941e-05
9900,7.488719711545855e-05
10000,7.560719677712768e-05
10100,7.632719643879682e-05
10200,7.704720337642357e-05
10300,7.77672030380927e-05
10400,7.848720269976184e-05
10500,7.920720236143097e-05
10600,7.992720202310011e-05
10700,8.064720168476924e-05
10800,8.136720134643838e-05
10900,8.208720100810751e-05
11000,8.280720066977665e-05
11100,8.352720033144578e-05
11200,8.424719999311492e-05
11300,8.496719965478405e-05
11400,8.568719931645319e-05
11500,8.640719897812232e-05
11600,8.712719863979146e-05
11700,8.78471983014606e-05
11800,8.856719796312973e-05
11900,8.928719762479886e-05
